motor_position	frequency	voltage
0.1	2.3	0.757
0.1	2.3099999999999996	2.533
0.1	2.3199999999999994	1.740
0.1	2.329999999999999	2.066
0.1	2.339999999999999	1.089
0.1	2.3499999999999988	0.293
0.1	2.3599999999999985	2.359
0.1	2.3699999999999983	2.591
0.1	2.379999999999998	2.543
0.1	2.389999999999998	2.678
0.1	2.3999999999999977	2.565
0.1	2.4099999999999975	2.388
0.1	2.4199999999999973	2.372
0.1	2.429999999999997	2.291
0.1	2.439999999999997	2.179
0.1	2.4499999999999966	2.121
0.1	2.4599999999999964	1.908
0.1	2.469999999999996	1.750
0.1	2.479999999999996	0.918
0.1	2.4899999999999958	0.361
0.1	2.4999999999999956	1.360
0.2	2.3	0.035
0.2	2.3099999999999996	2.517
0.2	2.3199999999999994	1.305
0.2	2.329999999999999	1.985
0.2	2.339999999999999	1.070
0.2	2.3499999999999988	0.412
0.2	2.3599999999999985	2.317
0.2	2.3699999999999983	2.556
0.2	2.379999999999998	2.514
0.2	2.389999999999998	2.623
0.2	2.3999999999999977	2.523
0.2	2.4099999999999975	2.427
0.2	2.4199999999999973	2.369
0.2	2.429999999999997	2.298
0.2	2.439999999999997	2.191
0.2	2.4499999999999966	2.150
0.2	2.4599999999999964	1.908
0.2	2.469999999999996	1.637
0.2	2.479999999999996	0.938
0.2	2.4899999999999958	0.416
0.2	2.4999999999999956	1.305
0.30000000000000004	2.3	0.255
0.30000000000000004	2.3099999999999996	2.543
0.30000000000000004	2.3199999999999994	1.057
0.30000000000000004	2.329999999999999	1.937
0.30000000000000004	2.339999999999999	1.028
0.30000000000000004	2.3499999999999988	0.496
0.30000000000000004	2.3599999999999985	2.295
0.30000000000000004	2.3699999999999983	2.556
0.30000000000000004	2.379999999999998	2.523
0.30000000000000004	2.389999999999998	2.610
0.30000000000000004	2.3999999999999977	2.517
0.30000000000000004	2.4099999999999975	2.478
0.30000000000000004	2.4199999999999973	2.327
0.30000000000000004	2.429999999999997	2.317
0.30000000000000004	2.439999999999997	2.188
0.30000000000000004	2.4499999999999966	2.150
0.30000000000000004	2.4599999999999964	1.927
0.30000000000000004	2.469999999999996	1.605
0.30000000000000004	2.479999999999996	0.883
0.30000000000000004	2.4899999999999958	0.429
0.30000000000000004	2.4999999999999956	1.163
0.4	2.3	1.112
0.4	2.3099999999999996	2.472
0.4	2.3199999999999994	0.558
0.4	2.329999999999999	1.853
0.4	2.339999999999999	0.986
0.4	2.3499999999999988	0.976
0.4	2.3599999999999985	2.275
0.4	2.3699999999999983	2.568
0.4	2.379999999999998	2.501
0.4	2.389999999999998	2.530
0.4	2.3999999999999977	2.498
0.4	2.4099999999999975	2.433
0.4	2.4199999999999973	2.288
0.4	2.429999999999997	2.330
0.4	2.439999999999997	2.182
0.4	2.4499999999999966	1.631
0.4	2.4599999999999964	1.895
0.4	2.469999999999996	1.602
0.4	2.479999999999996	0.864
0.4	2.4899999999999958	0.483
0.4	2.4999999999999956	1.128
0.5	2.3	1.653
0.5	2.3099999999999996	2.330
0.5	2.3199999999999994	0.174
0.5	2.329999999999999	1.708
0.5	2.339999999999999	0.957
0.5	2.3499999999999988	1.186
0.5	2.3599999999999985	2.208
0.5	2.3699999999999983	2.572
0.5	2.379999999999998	2.485
0.5	2.389999999999998	2.575
0.5	2.3999999999999977	2.517
0.5	2.4099999999999975	2.427
0.5	2.4199999999999973	2.224
0.5	2.429999999999997	2.327
0.5	2.439999999999997	2.140
0.5	2.4499999999999966	1.112
0.5	2.4599999999999964	1.824
0.5	2.469999999999996	1.569
0.5	2.479999999999996	0.754
0.5	2.4899999999999958	0.554
0.5	2.4999999999999956	0.986
0.6	2.3	2.050
0.6	2.3099999999999996	2.217
0.6	2.3199999999999994	0.000
0.6	2.329999999999999	1.653
0.6	2.339999999999999	0.912
0.6	2.3499999999999988	1.476
0.6	2.3599999999999985	2.150
0.6	2.3699999999999983	2.533
0.6	2.379999999999998	2.356
0.6	2.389999999999998	2.546
0.6	2.3999999999999977	2.539
0.6	2.4099999999999975	2.456
0.6	2.4199999999999973	2.285
0.6	2.429999999999997	2.320
0.6	2.439999999999997	2.111
0.6	2.4499999999999966	1.853
0.6	2.4599999999999964	1.856
0.6	2.469999999999996	1.515
0.6	2.479999999999996	0.674
0.6	2.4899999999999958	0.628
0.6	2.4999999999999956	0.735
0.7	2.3	2.278
0.7	2.3099999999999996	2.156
0.7	2.3199999999999994	0.000
0.7	2.329999999999999	1.592
0.7	2.339999999999999	0.886
0.7	2.3499999999999988	1.656
0.7	2.3599999999999985	2.053
0.7	2.3699999999999983	2.527
0.7	2.379999999999998	2.465
0.7	2.389999999999998	2.617
0.7	2.3999999999999977	2.559
0.7	2.4099999999999975	2.452
0.7	2.4199999999999973	2.282
0.7	2.429999999999997	2.314
0.7	2.439999999999997	2.046
0.7	2.4499999999999966	1.972
0.7	2.4599999999999964	1.850
0.7	2.469999999999996	1.370
0.7	2.479999999999996	0.593
0.7	2.4899999999999958	0.693
0.7	2.4999999999999956	0.409
0.7999999999999999	2.3	2.346
0.7999999999999999	2.3099999999999996	2.130
0.7999999999999999	2.3199999999999994	0.064
0.7999999999999999	2.329999999999999	1.492
0.7999999999999999	2.339999999999999	0.764
0.7999999999999999	2.3499999999999988	1.776
0.7999999999999999	2.3599999999999985	1.956
0.7999999999999999	2.3699999999999983	2.459
0.7999999999999999	2.379999999999998	2.501
0.7999999999999999	2.389999999999998	2.594
0.7999999999999999	2.3999999999999977	2.565
0.7999999999999999	2.4099999999999975	2.449
0.7999999999999999	2.4199999999999973	2.365
0.7999999999999999	2.429999999999997	2.307
0.7999999999999999	2.439999999999997	2.021
0.7999999999999999	2.4499999999999966	2.008
0.7999999999999999	2.4599999999999964	1.834
0.7999999999999999	2.469999999999996	1.205
0.7999999999999999	2.479999999999996	0.551
0.7999999999999999	2.4899999999999958	0.744
0.7999999999999999	2.4999999999999956	0.135
0.8999999999999999	2.3	2.527
0.8999999999999999	2.3099999999999996	2.030
0.8999999999999999	2.3199999999999994	0.164
0.8999999999999999	2.329999999999999	1.424
0.8999999999999999	2.339999999999999	0.735
0.8999999999999999	2.3499999999999988	1.885
0.8999999999999999	2.3599999999999985	1.982
0.8999999999999999	2.3699999999999983	2.436
0.8999999999999999	2.379999999999998	2.475
0.8999999999999999	2.389999999999998	2.610
0.8999999999999999	2.3999999999999977	2.556
0.8999999999999999	2.4099999999999975	2.391
0.8999999999999999	2.4199999999999973	2.356
0.8999999999999999	2.429999999999997	2.269
0.8999999999999999	2.439999999999997	1.914
0.8999999999999999	2.4499999999999966	2.014
0.8999999999999999	2.4599999999999964	1.789
0.8999999999999999	2.469999999999996	0.986
0.8999999999999999	2.479999999999996	0.696
0.8999999999999999	2.4899999999999958	0.899
0.8999999999999999	2.4999999999999956	0.429
0.9999999999999999	2.3	2.585
0.9999999999999999	2.3099999999999996	1.927
0.9999999999999999	2.3199999999999994	0.316
0.9999999999999999	2.329999999999999	1.279
0.9999999999999999	2.339999999999999	0.496
0.9999999999999999	2.3499999999999988	1.959
0.9999999999999999	2.3599999999999985	2.030
0.9999999999999999	2.3699999999999983	2.401
0.9999999999999999	2.379999999999998	2.491
0.9999999999999999	2.389999999999998	2.607
0.9999999999999999	2.3999999999999977	2.585
0.9999999999999999	2.4099999999999975	2.407
0.9999999999999999	2.4199999999999973	2.349
0.9999999999999999	2.429999999999997	2.214
0.9999999999999999	2.439999999999997	1.982
0.9999999999999999	2.4499999999999966	2.017
0.9999999999999999	2.4599999999999964	1.753
0.9999999999999999	2.469999999999996	0.918
0.9999999999999999	2.479999999999996	0.458
0.9999999999999999	2.4899999999999958	0.757
0.9999999999999999	2.4999999999999956	1.598
1.0999999999999999	2.3	2.633
1.0999999999999999	2.3099999999999996	1.615
1.0999999999999999	2.3199999999999994	0.442
1.0999999999999999	2.329999999999999	1.263
1.0999999999999999	2.339999999999999	0.529
1.0999999999999999	2.3499999999999988	1.995
1.0999999999999999	2.3599999999999985	2.043
1.0999999999999999	2.3699999999999983	2.427
1.0999999999999999	2.379999999999998	2.494
1.0999999999999999	2.389999999999998	2.594
1.0999999999999999	2.3999999999999977	2.527
1.0999999999999999	2.4099999999999975	2.378
1.0999999999999999	2.4199999999999973	2.346
1.0999999999999999	2.429999999999997	2.227
1.0999999999999999	2.439999999999997	2.137
1.0999999999999999	2.4499999999999966	2.040
1.0999999999999999	2.4599999999999964	1.760
1.0999999999999999	2.469999999999996	0.831
1.0999999999999999	2.479999999999996	0.599
1.0999999999999999	2.4899999999999958	0.732
1.0999999999999999	2.4999999999999956	1.911
1.2	2.3	2.684
1.2	2.3099999999999996	1.379
1.2	2.3199999999999994	0.654
1.2	2.329999999999999	1.212
1.2	2.339999999999999	0.232
1.2	2.3499999999999988	2.062
1.2	2.3599999999999985	2.108
1.2	2.3699999999999983	2.443
1.2	2.379999999999998	2.530
1.2	2.389999999999998	2.581
1.2	2.3999999999999977	2.597
1.2	2.4099999999999975	2.411
1.2	2.4199999999999973	2.385
1.2	2.429999999999997	2.191
1.2	2.439999999999997	2.169
1.2	2.4499999999999966	2.040
1.2	2.4599999999999964	1.727
1.2	2.469999999999996	0.735
1.2	2.479999999999996	0.380
1.2	2.4899999999999958	0.761
1.2	2.4999999999999956	1.830
1.3	2.3	2.626
1.3	2.3099999999999996	1.012
1.3	2.3199999999999994	0.777
1.3	2.329999999999999	1.192
1.3	2.339999999999999	0.139
1.3	2.3499999999999988	2.088
1.3	2.3599999999999985	2.133
1.3	2.3699999999999983	2.394
1.3	2.379999999999998	2.559
1.3	2.389999999999998	2.549
1.3	2.3999999999999977	2.585
1.3	2.4099999999999975	2.382
1.3	2.4199999999999973	2.385
1.3	2.429999999999997	2.217
1.3	2.439999999999997	2.182
1.3	2.4499999999999966	2.021
1.3	2.4599999999999964	1.663
1.3	2.469999999999996	0.670
1.3	2.479999999999996	0.438
1.3	2.4899999999999958	0.741
1.3	2.4999999999999956	1.466
1.4000000000000001	2.3	2.607
1.4000000000000001	2.3099999999999996	0.819
1.4000000000000001	2.3199999999999994	1.205
1.4000000000000001	2.329999999999999	1.144
1.4000000000000001	2.339999999999999	0.071
1.4000000000000001	2.3499999999999988	2.133
1.4000000000000001	2.3599999999999985	2.182
1.4000000000000001	2.3699999999999983	2.398
1.4000000000000001	2.379999999999998	2.572
1.4000000000000001	2.389999999999998	2.549
1.4000000000000001	2.3999999999999977	2.572
1.4000000000000001	2.4099999999999975	2.433
1.4000000000000001	2.4199999999999973	2.385
1.4000000000000001	2.429999999999997	2.188
1.4000000000000001	2.439999999999997	2.108
1.4000000000000001	2.4499999999999966	2.011
1.4000000000000001	2.4599999999999964	1.621
1.4000000000000001	2.469999999999996	0.570
1.4000000000000001	2.479999999999996	0.400
1.4000000000000001	2.4899999999999958	0.622
1.4000000000000001	2.4999999999999956	1.383
1.5000000000000002	2.3	2.565
1.5000000000000002	2.3099999999999996	0.429
1.5000000000000002	2.3199999999999994	1.457
1.5000000000000002	2.329999999999999	1.176
1.5000000000000002	2.339999999999999	0.209
1.5000000000000002	2.3499999999999988	2.162
1.5000000000000002	2.3599999999999985	2.214
1.5000000000000002	2.3699999999999983	2.353
1.5000000000000002	2.379999999999998	2.520
1.5000000000000002	2.389999999999998	2.501
1.5000000000000002	2.3999999999999977	2.533
1.5000000000000002	2.4099999999999975	2.417
1.5000000000000002	2.4199999999999973	2.394
1.5000000000000002	2.429999999999997	2.208
1.5000000000000002	2.439999999999997	0.909
1.5000000000000002	2.4499999999999966	1.969
1.5000000000000002	2.4599999999999964	1.631
1.5000000000000002	2.469999999999996	0.635
1.5000000000000002	2.479999999999996	0.429
1.5000000000000002	2.4899999999999958	0.570
1.5000000000000002	2.4999999999999956	1.044
1.6000000000000003	2.3	2.530
1.6000000000000003	2.3099999999999996	0.132
1.6000000000000003	2.3199999999999994	1.595
1.6000000000000003	2.329999999999999	1.057
1.6000000000000003	2.339999999999999	0.438
1.6000000000000003	2.3499999999999988	2.182
1.6000000000000003	2.3599999999999985	2.259
1.6000000000000003	2.3699999999999983	2.256
1.6000000000000003	2.379999999999998	2.523
1.6000000000000003	2.389999999999998	2.568
1.6000000000000003	2.3999999999999977	2.597
1.6000000000000003	2.4099999999999975	2.398
1.6000000000000003	2.4199999999999973	2.404
1.6000000000000003	2.429999999999997	2.153
1.6000000000000003	2.439999999999997	1.470
1.6000000000000003	2.4499999999999966	1.946
1.6000000000000003	2.4599999999999964	1.495
1.6000000000000003	2.469999999999996	0.525
1.6000000000000003	2.479999999999996	0.451
1.6000000000000003	2.4899999999999958	0.477
1.6000000000000003	2.4999999999999956	0.625
1.7000000000000004	2.3	2.481
1.7000000000000004	2.3099999999999996	0.019
1.7000000000000004	2.3199999999999994	1.656
1.7000000000000004	2.329999999999999	1.005
1.7000000000000004	2.339999999999999	0.806
1.7000000000000004	2.3499999999999988	2.182
1.7000000000000004	2.3599999999999985	2.269
1.7000000000000004	2.3699999999999983	2.404
1.7000000000000004	2.379999999999998	2.433
1.7000000000000004	2.389999999999998	2.543
1.7000000000000004	2.3999999999999977	2.559
1.7000000000000004	2.4099999999999975	2.407
1.7000000000000004	2.4199999999999973	2.407
1.7000000000000004	2.429999999999997	2.172
1.7000000000000004	2.439999999999997	1.934
